SERIAL NUMBER,Do you agree to take part in this interview? ,Age (in years) ,Gender ,Education ,Residence Status ,Employment status ,Household financial situation,Years lived in this community,How often do you worry about the following?  [Being robbed in your home ],How often do you worry about the following?  [Being robbed or attacked on the street near your home ],"In the last month, how often have you [Avoided going out during daytime because of fear ]","In the last month, how often have you [Avoided going out at night because of fear ]","In the last month, how often have you [Avoided certain streets or routes ]", How likely do you think the following will happen to you in the next 12 months?  [Your house will be broken into ], How likely do you think the following will happen to you in the next 12 months?  [You will be robbed or attacked in the street ],How safe do you feel ?  [Inside your home at night ],How safe do you feel ?  [?On the street near your home at night ],To what extent do you agree? [The police do a good job of keeping people safe ],To what extent do you agree? [?The police treat people fairly ],To what extent do you agree? [?I can rely on the police when there is a problem ],To what extent do you agree? [The local vigilante or community guards keep people safe ],"In the past 12 months, has anyone attempted to break into your home, or successfully burgled your home? ","If Yes, how many times did this happen in the past 12 months? 
?",Have you or anyone in your household had something stolen,"if yes, how many times did this happen in the past 12 months","In the past 12 months, have you been physically attacked or assaulted? 
?","If Yes, how many times did this happen in the past 12 months? ",Has a close friend or family member experienced any of these in the last 12 months? ,"If Yes, how many times did this happen in the past 12 months?  2",How often do you hear about crime happening to people you know? ,Did you report the most recent incident to any authority or security actor? ,Who did you report it to? (Tick all that apply) ,"If you did not report it, why? (Tick all that apply) ",How much of a problem are the following in your community?  [Poor street lighting ],How much of a problem are the following in your community?  [Abandoned or unfinished buildings ],How much of a problem are the following in your community?  [Groups of young men hanging around],How much of a problem are the following in your community?  [Open drainage or flooding],Agreement level on community trust:  [People in this community can be trusted],Agreement level on community trust:  [People here are willing to help each other ],"Agreement level on community trust:  [?If there is trouble, people will intervene]",Street Name 2,Is there a functioning streetlight near the respondent’s house?,Is there a shop or commercial outlet attached to the respondent’s house? ,Type of street ,Is there a footpath beside or behind the respondent’s house linking to another street? ,Are most houses on this street fenced? ,General condition of buildings on this street ,Visible signs of disorder (tick all that apply) ,Presence of informal security structures,Proximity (within ~200m) to key activity nodes (tick all that apply) ,Overall activity level on the street at the time of interview 
id,consent,age,gender,education,residence,employment,income,years_resident,worry_home,worry_street,avoid_day,avoid_night,avoid_route,risk_home,risk_street,safe_home,safe_street,police_safe,police_fair,police_rely,vigilante_safe,burglary,burglary_count,theft,theft_count,assault,assault_count,vicarious_victim,vicarious_count,crime_heard,reported,reported_to,nonreport_reason,light_prob,building_prob,gang_prob,drainage_prob,trust_neigh,help_neigh,intervene,street_name_obs,streetlight_obs,shop_attached,street_type,footpath,fenced,building_cond,disorder_obs,informal_security,activity_node,activity_level
197,Yes,47,Female,Tertiary,Tenant,Student,Comfortable,15,1,1,1,1,2,1,1,5,5,1,1,1,5,No,,No,,No,,No,,Sometimes,,,,4,4,4,4,1,1,5,NA,Yes,Yes,Residential Area,Yes,Yes,Fair,Abandoned/ Uncompleted Building,Both,Bus stop/motor park,Moderate
198,Yes,25,Female,Tertiary,Tenant,Unemployed,Struggling,11,1,2,1,5,3,1,3,5,3,1,1,1,5,No,,Yes,2 (plastic chair and slippers),No,,No,,Sometimes,,,,4,1,1,3,5,5,5,NA,Yes,No,Residential Area,No,Yes,Good,Open drainage,None,None,Quiet
199,Yes,45,Female,Secondary,Tenant,Self-Employed,Just getting by,12,1,1,1,3,2,1,1,5,4,2,1,1,3,No,,No,,No,,No,,Sometimes,,,,4,1,2,4,5,4,5,NA,No,No,Residential Area,No,Yes,Good,"Litter, Open drainage",None,None,Quiet
200,Yes,45,Female,Secondary,Tenant,Unemployed,Just getting by,4,1,1,1,1,1,1,1,5,5,5,4,5,4,Yes,,Yes,1,No,,No,,Never,Yes,Family/friends,Handled it myself,4,1,1,4,5,4,5,NA,No,Yes,Residential Area,No,Yes,Fair,"Litter, Open drainage",None,Bars/viewing centres,Moderate
201,Yes,35,Male,Tertiary,Landlord,Unemployed,Just getting by,26,1,1,2,2,2,1,1,5,5,1,1,2,3,No,,No,,No,,Yes,1,Sometimes,No,Family/friends,Handled it myself,4,1,1,4,4,5,4,NA,No,No,Residential Area,No,Yes,Fair,"Litter, Open drainage",None,None,Moderate
202,Yes,42,Female,Secondary,Tenant,Self-Employed,Just getting by,1,1,1,1,2,3,1,2,5,5,5,4,5,4,Yes,,No,,Yes,Pot,No,,Rarely,Yes,Family/friends,Handled it myself,4,3,2,4,5,5,5,NA,No,No,Residential Area,No,No,Good,"Litter, Open drainage",None,Bus stop/motor park,Moderate
203,Yes,42,Female,Secondary,Tenant,Self-Employed,Struggling,3,1,1,2,3,2,1,1,5,4,4,4,5,3,No,,No,,No,,No,,Sometimes,,Other,Handled it myself,1,1,2,1,5,5,4,NA,Yes,Yes,Major Road,Yes,Mixed,Fair,Litter,None,Bus stop/motor park,Busy
204,Yes,42,Male,Tertiary,Tenant,Employed,Comfortable,7,1,1,1,2,2,1,1,1,2,4,5,5,3,No,,Yes,,No,,No,,Rarely,No,Family/friends,Handled it myself,1,2,1,3,3,2,1,NA,Yes,Yes,Residential Area,Yes,No,Fair,Litter,None,"Bars/viewing centres, Bus stop/motor park",Moderate
205,Yes,53,Male,Secondary,Landlord,Unemployed,Comfortable,27,1,1,1,1,1,1,1,5,4,4,3,4,3,No,,No,,No,,No,,Sometimes,,,,4,1,2,1,5,4,5,NA,Not sure,Yes,Residential Area,No,Mixed,Fair,None,Community gate,Bus stop/motor park,Quiet
206,Yes,37,Male,Secondary,Tenant,Self-Employed,Struggling,8,3,4,3,4,3,3,2,4,3,4,4,3,2,Yes,,Yes,1,No,,No,,Rarely,No,Other,Handled it myself,4,1,1,4,5,4,4,NA,No,No,Close,No,Mixed,Fair,None,None,Bus stop/motor park,Quiet
207,Yes,40,Other,Secondary,Landlord,Self-Employed,Comfortable,1,1,1,1,1,1,1,1,5,5,3,3,3,5,No,,No,,No,,No,,Often,,,,4,1,3,1,3,5,5,NA,No,Yes,Residential Area,No,Yes,Good,None,None,None,Moderate
208,Yes,53,Female,Secondary,Tenant,Self-Employed,Just getting by,11,2,1,1,2,3,1,1,5,3,4,4,5,3,No,,No,,No,,No,,Sometimes,,,,4,1,1,3,4,3,3,NA,No,Yes,Residential Area,No,Yes,Good,Open drainage,Community gate,None,Moderate
209,Yes,20,Male,Secondary,Tenant,Self-Employed,Comfortable,1,1,1,1,1,1,5,5,4,5,4,5,5,5,No,,No,,No,,No,,Sometimes,,,,4,1,4,4,5,4,5,NA,No,Yes,Residential Area,No,Mixed,Poor,"Litter, Open drainage",Community gate,Major Market,Busy
210,Yes,39,Female,Secondary,Tenant,Unemployed,Struggling,5,1,2,1,1,2,1,2,5,4,4,3,5,5,No,,No,,No,,No,,Rarely,,,,4,1,3,4,5,4,4,NA,No,Yes,Residential Area,No,Mixed,Poor,"Litter, Open drainage",Community gate,Major Market,Busy
211,Yes,52,Female,Secondary,Tenant,Self-Employed,Just getting by,15,1,1,1,3,2,2,2,5,5,4,3,3,4,No,,No,,No,,No,,Sometimes,,,,1,1,2,4,5,4,4,NA,Yes,Yes,Residential Area,No,Mixed,Fair,"Litter, Open drainage",Community gate,"Major market, Bus stop/motor park",Busy
212,Yes,25,Female,Tertiary,Tenant,Self-Employed,Just getting by,1,1,1,1,1,1,5,5,3,3,4,3,4,3,No,,No,,No,,No,,Rarely,,,,4,1,3,4,4,5,4,NA,No,Yes,Residential Area,Yes,Yes,Good,"Litter, Open drainage",Community gate,None,Moderate
213,Yes,20,Female,Secondary,Tenant,Self-Employed,Comfortable,4,1,1,1,1,1,5,5,3,3,4,3,4,3,No,,No,,No,,No,,Rarely,,,,4,1,3,4,4,5,4,NA,No,Yes,Residential Area,Yes,Yes,Fair,"Litter, Open drainage",Community gate,None,Moderate
214,Yes,47,Male,Tertiary,Tenant,Self-Employed,Just getting by,1,1,1,1,1,1,1,1,5,5,4,4,4,5,No,,No,,No,,No,,Sometimes,,,,4,1,1,4,5,4,4,NA,Yes,Yes,Residential Area,Yes,Yes,Fair,"Litter, Open drainage",None,None,Moderate
215,Yes,38,Female,Tertiary,Tenant,Unemployed,Struggling,9,2,1,2,3,3,2,2,5,5,3,2,3,5,No,,Yes,1,No,,Yes,1,Very Often,No,,Handled it myself,1,1,3,4,4,5,5,NA,Yes,No,Alleyway,No,Mixed,Poor,"Litter, Open drainage,Abandoned/ Uncompleted Building",None,None,Quiet
216,Yes,30,Female,Tertiary,Tenant,Self-Employed,Struggling,8,1,1,1,1,5,5,5,5,5,1,1,1,1,No,,No,,No,,No,,Rarely,,,,4,1,1,1,5,1,5,NA,Yes,Yes,Residential Area,No,Yes,Good,None,Vigilante Post,Major market,Quiet
217,Yes,50,Female,Secondary,Landlord,Unemployed,Just getting by,50,1,1,1,1,1,1,1,5,5,5,5,5,5,No,,No,,No,,No,,Rarely,,,,1,1,2,2,5,5,4,NA,Yes,Yes,Residential Area,Yes,Yes,Good,Open drainage,Community gate,None,Moderate
218,Yes,32,Female,Tertiary,Tenant,Unemployed,Struggling,13,1,1,1,1,1,2,2,5,4,3,3,4,5,No,,No,,No,,No,,Rarely,,,,1,3,1,4,5,4,4,NA,Yes,Yes,Alleyway,No,Yes,Fair,"Open drainage,Abandoned/ Uncompleted Building",Community gate,Bars/viewing centres,Quiet
219,Yes,54,Male,Tertiary,Tenant,Unemployed,Comfortable,22,1,1,1,2,2,1,1,5,4,5,4,5,4,No,,Yes,phone,No,,No,,Rarely,No,Other,Did not think anything would be done ,3,1,1,4,5,4,4,NA,No,Yes,Residential Area,No,Yes,Good,"Open drainage,Abandoned/ Uncompleted Building",None,None,Moderate
220,Yes,56,Female,Tertiary,Tenant,Self-Employed,Struggling,4,1,1,1,1,2,1,1,5,4,4,4,3,5,No,,No,,No,,No,,Sometimes,,,,4,1,1,4,5,5,5,NA,No,Yes,Major  road,Not sure,Yes,Good,Open drainage,Community gate,None,Moderate
221,Yes,72,Female,Tertiary,Tenant,Self-Employed,Just getting by,32,1,3,1,1,1,1,1,5,5,1,1,1,5,No,,Yes,phone,No,,Yes,car,Rarely,Yes,Police,Did not trusr police/security actors,1,1,3,1,3,1,1,NA,Yes,Yes,Residential Area,No,Yes,Good,Open drainage,None,Major market,Very Quiet
222,Yes,57,Female,Secondary,Landlord,Self-Employed,Comfortable,57,1,1,1,1,1,1,1,5,5,1,1,1,1,No,,No,,No,,No,,Rarely,,,,4,1,4,4,3,2,3,NA,No,No,Alleyway,Yes,No,Fair,None,None,None,Very Quiet
223,Yes,38,Female,Primary,Tenant,Employed,Just getting by,5,4,5,1,1,1,1,1,5,4,1,1,1,1,No,,Yes,Money,Yes,,No,,Sometimes,No,Other,Did not think anything would be done ,1,1,4,1,1,1,1,NA,Yes,Yes,Major road,No,Mixed,Poor,Litter,None,None,Busy
224,Yes,45,Male,Secondary,Tenant,Self-Employed,Just getting by,5,4,5,1,1,1,1,1,5,4,1,1,1,1,No,,No,,No,,No,,Sometimes,,,,1,1,4,1,1,1,1,NA,Yes,Yes,Major road,No,Mixed,Fair,"Open drainage,Abandoned/ Uncompleted Building",None,None,Very Busy
225,Yes,29,Male,Tertiary,Tenant,Unemployed,Struggling,4,1,1,1,1,1,2,1,5,4,4,4,5,3,No,,No,,No,,No,,Rarely,,,,2,1,1,1,4,5,5,NA,No,No,Residential Area,No,Mixed,Fair,Litter,None,Major market,Moderate
226,Yes,46,Female,Tertiary,Tenant,Self-Employed,Comfortable,6,1,1,1,1,1,1,1,5,5,5,5,5,5,No,,No,,No,,No,,Rarely,,,,1,1,1,1,5,5,5,NA,No,No,Residential Area,Yes,No,Fair,None,None,Major market,Moderate
227,Yes,45,Female,Secondary,Tenant,Self-Employed,Just getting by,3,1,1,1,1,1,1,1,5,5,5,5,5,4,No,,No,,No,,No,,Sometimes,,,,1,1,1,1,5,4,5,NA,Yes,Yes,Major Road,No,Mixed,Fair,Open drainage,None,Major market,Busy
228,Yes,39,Male,Secondary,Tenant,Self-Employed,Just getting by,19,1,1,1,1,1,1,1,5,5,1,1,1,1,No,,No,,No,,No,,Never,,,,1,1,1,1,3,5,5,NA,Yes,Yes,Major Road,Not sure,Mixed,Fair,None,None,None,Moderate
229,Yes,41,Female,Primary,Tenant,Self-Employed,Struggling,10,1,1,1,1,1,1,1,5,5,3,3,3,5,No,,No,,No,,No,,Rarely,,,,1,1,2,3,5,5,4,NA,Yes,Yes,Residential Area,No,Yes,Good,Open drainage,Community gate,None,Quiet
230,Yes,27,Male,Tertiary,Tenant,Self-Employed,Just getting by,4,2,1,1,1,1,1,2,5,4,3,3,3,2,No,,No,,No,,No,,Rarely,,,,1,2,2,2,1,2,2,NA,Yes,Yes,Residential Area,No,Yes,Good,None,Community gate,"Major Market, Bars/viewing centres",Moderate
231,Yes,40,Male,Tertiary,Tenant,Self-Employed,Comfortable,12,1,1,1,1,1,1,1,1,1,3,2,3,4,No,,No,,No,,No,,Rarely,,,,3,1,1,1,4,5,5,NA,No,Yes,Residential Area,Yes,Yes,Good,None,None,Bus stop/motor park,Moderate
232,Yes,56,Female,Tertiary,Landlord,Self-Employed,Comfortable,5,1,1,1,1,1,1,1,5,5,5,1,5,4,No,,No,,No,,Yes,1,Rarely,,,,1,1,2,3,5,5,5,NA,Yes,Yes,Major road,No,Mixed,Good,None,None,"Major Market, Bars/viewing centres",Moderate
233,Yes,38,Male,Tertiary,Tenant,Self-Employed,Just getting by,3,2,1,1,1,1,3,1,4,5,1,1,1,2,No,,Yes,"2(dispenser, phone, laptop and playstation)",No,,No,,Rarely,,,,2,1,2,4,3,2,4,NA,No,Yes,Residential Area,No,Yes,Fair,"Litter, Open drainage",None,Bus stop/motor park,Moderate
234,Yes,22,Female,Tertiary,Tenant,Student,Struggling,22,1,1,2,5,5,1,1,1,5,5,5,5,1,No,,No,,No,,No,,Often,,,,1,1,4,1,1,1,1,NA,Yes,Yes,Alleyway,Yes,Yes,Good,"Litter, Open drainage",Community gate,Bus stop/motor park,Moderate
235,Yes,44,Female,Tertiary,Tenant,Self-Employed,Just getting by,20,1,1,1,1,1,1,1,1,1,3,4,5,5,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,5,4,NA,Yes,Yes,Residential Area,Not sure,Yes,Good,Abandoned/ Uncompleted Building,None,Major Market,Moderate
236,Yes,48,Male,Secondary,Landlord,Self-Employed,Just getting by,48,1,2,1,1,1,1,1,5,4,4,5,5,3,No,,No,,No,,No,,Sometimes,,,,4,1,1,1,4,5,4,NA,No,Yes,Close,No,No,Poor,None,None,None,Busy
237,Yes,26,Male,Secondary,Tenant,Unemployed,Struggling,2,1,1,1,1,1,1,2,5,4,1,1,1,5,No,,Yes,,No,,No,,Sometimes,,,,4,1,1,4,5,5,4,NA,No,No,Residential Area,No,Mixed,Poor,Open drainage,Community gate,None,Moderate
238,Yes,27,Female,Tertiary,Tenant,Unemployed,Struggling,4,1,1,1,1,1,2,2,5,4,5,4,5,2,No,,No,,No,,No,,Sometimes,,,,4,2,3,1,5,5,4,NA,No,No,Close,Yes,No,Poor,Abandoned/ Uncompleted Building,None,None,Quiet
239,Yes,28,Female,Secondary,Tenant,Self-Employed,Struggling,4,2,2,1,1,1,1,1,4,3,1,1,1,4,No,,No,,No,,No,,Very Often,,,,1,1,1,1,3,3,4,NA,No,No,Residential Area,Not sure,Mixed,Good,None,None,Major Market,Moderate
240,Yes,49,Male,Secondary,Tenant,Self-Employed,Struggling,10,1,1,1,1,1,1,1,5,4,1,1,1,3,No,,No,,No,,No,,Rarely,,,,4,1,1,4,5,4,4,NA,No,No,Residential Area,No,Mixed,Fair,Open drainage,None,None,Moderate
241,Yes,28,Female,Tertiary,Tenant,Self-Employed,Comfortable,1,1,1,1,1,1,1,1,5,5,1,1,1,5,No,,No,,No,,No,,Sometimes,,,,2,1,1,4,3,5,5,NA,No,Yes,Residential Area,No,Mixed,Fair,Open drainage,None,None,Moderate
242,Yes,40,Female,Tertiary,Tenant,Self-Employed,Just getting by,40,3,1,1,1,1,1,1,5,5,1,1,1,1,No,,No,,No,,No,,Rarely,,,,2,1,2,4,4,5,5,NA,No,Yes,Residential Area,No,Mixed,Fair,Open drainage,None,None,Moderate
243,Yes,28,Male,Secondary,Tenant,Self-Employed,Struggling,4,1,1,1,1,1,1,1,5,4,2,1,1,1,No,,No,,No,,No,,Rarely,,,,2,1,1,4,3,4,5,NA,No,No,Residential Area,Not sure,Mixed,Fair,Open drainage,None,None,Moderate
244,Yes,47,Female,Primary,Tenant,Self-Employed,Struggling,10,1,1,1,1,1,1,1,5,5,5,5,5,5,No,,No,,No,,No,,Sometimes,,,,4,1,1,4,5,5,4,NA,No,No,Footpath,Yes,Mixed,Poor,"Litter, Open drainage",None,None,Moderate
245,Yes,68,Female,None,Tenant,Self-Employed,Just getting by,15,3,1,1,3,1,1,1,5,5,3,2,2,1,Yes,,No,,No,,No,,Sometimes,,,,4,1,1,4,5,5,5,NA,No,Not sure,Footpath,Not sure,Mixed,Poor,"Litter, Open drainage",None,None,Moderate
246,Yes,42,Female,Secondary,Tenant,Self-Employed,Just getting by,3,1,1,1,1,1,1,1,5,4,3,2,3,1,No,,No,,No,,No,,Sometimes,,,,2,1,1,4,5,5,3,NA,No,No,Residential Area,Yes,Mixed,Fair,Litter,None,None,Moderate
247,Yes,57,Female,Secondary,Tenant,Self-Employed,Comfortable,23,1,1,1,1,1,2,2,4,4,1,2,1,2,No,,No,,No,,No,,Sometimes,,,,2,1,1,4,4,5,5,NA,Not sure,Yes,Residential Area,No,Mixed,Good,Open drainage,None,None,Quiet
248,Yes,20,Male,Secondary,Tenant,Unemployed,Struggling,20,1,1,1,1,1,1,1,4,5,5,4,5,1,No,,No,,No,,No,,Rarely,,,,1,1,1,4,1,2,5,NA,Yes,No,Residential Area,No,Mixed,Fair,Open drainage,None,None,Quiet
249,Yes,44,Female,Secondary,Tenant,Self-Employed,Struggling,16,1,1,1,1,1,1,1,5,5,2,3,3,1,No,,No,,No,,No,,Rarely,,,,1,1,1,1,5,5,5,NA,Not sure,Yes,Residential Area,No,Mixed,Good,Litter,None,None,Moderate
250,Yes,37,Female,Secondary,Tenant,Unemployed,Just getting by,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No,,No,,No,,No,,Rarely,,,,4,1,1,1,3,4,4,NA,No,Yes,Residential Area,Not sure,Mixed,Good,None,None,None,Moderate
251,Yes,50,Female,Tertiary,Tenant,Self-Employed,Just getting by,30,1,1,1,1,1,1,1,4,4,1,1,1,2,No,,No,,No,,No,,Sometimes,,,,4,1,1,1,3,4,4,NA,No,Not sure,Residential Area,No,Mixed,Good,None,None,None,Moderate
252,Yes,45,Female,Secondary,Tenant,Self-Employed,Comfortable,1,1,1,1,1,1,1,1,5,5,3,2,2,4,No,,No,,No,,No,,Never,,,,1,1,1,1,5,5,5,NA,Yes,Yes,Residential Area,Not sure,Mixed,Good,None,None,None,Moderate
253,Yes,37,Female,Tertiary,Tenant,Self-Employed,Just getting by,12,1,1,1,1,1,1,1,5,5,3,2,3,2,No,,No,,No,,No,,Rarely,,,,2,2,1,1,4,3,3,NA,No,Yes,Residential Area,No,Mixed,Fair,None,None,None,Moderate
254,Yes,58,Female,Primary,Landlord,Self-Employed,Just getting by,3,1,1,1,1,1,1,1,5,5,1,1,1,2,No,,No,,No,,No,,Rarely,,,,4,1,1,1,3,3,4,NA,No,Yes,Residential Area,Not sure,Yes,Good,None,None,None,Very Quiet
255,Yes,27,Female,Tertiary,Tenant,Self-Employed,Struggling,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No,,Yes,Few,Yes,Few,No,,Sometimes,,,,1,1,4,4,5,5,5,NA,Not sure,Yes,Residential Area,Yes,Yes,Good,Open drainage,None,Bus stop/motor park,Moderate
256,Yes,48,Female,Tertiary,Tenant,Unemployed,Just getting by,12,1,1,1,1,1,1,1,5,5,2,2,2,3,No,,No,,No,,No,,Sometimes,,,,1,1,4,4,5,5,5,NA,Not sure,Yes,Residential Area,Yes,Mixed,Good,Open drainage,None,Bus stop/motor park,Moderate
257,Yes,32,Female,Secondary,Tenant,Self-Employed,Just getting by,6,1,1,1,1,1,1,1,5,5,3,3,3,1,No,,No,,No,,No,,Rarely,,,,4,1,2,3,5,5,5,NA,No,Yes,Residential Area,Not sure,Mixed,Fair,Open drainage,None,Bus stop/motor park,Moderate
258,Yes,36,Female,None,Tenant,Unemployed,Struggling,7,1,1,1,1,1,1,1,5,5,1,1,1,1,No,,No,,No,,No,,Sometimes,,,,1,1,1,4,5,5,4,NA,Not sure,No,Residential Area,Not sure,Mixed,Fair,Open drainage,None,None,Moderate
259,Yes,23,Female,Tertiary,Tenant,Student,Struggling,23,4,4,1,1,1,2,2,1,2,2,2,2,2,Yes,,Yes,Twice,Yes,,No,,Often,Yes,Vigilante/neighbourhood watch,,3,3,3,2,2,3,2,NA,Not sure,Yes,Residential Area,Yes,Mixed,Good,None,"Community gate,Vigilante Post",Bars/viewing centres,Moderate
260,Yes,55,Male,Primary,Tenant,Self-Employed,Comfortable,20,1,1,1,2,2,1,1,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,3,3,3,3,4,4,4,NA,No,No,Close,Yes,Yes,Fair,"Open drainage,Abandoned/ Uncompleted Building",Vigilante Post,Bars/viewing centres,Quiet
261,Yes,27,Male,Tertiary,Tenant,Unemployed,Struggling,27,1,2,1,1,1,2,2,5,5,4,4,4,4,Yes,,No,,No,,No,,Sometimes,Yes,Vigilante/neighbourhood watch,,3,3,3,3,4,4,1,NA,No,Yes,Residential Area,Yes,Yes,Fair,Open drainage,Both,Major Market,Moderate
